STATEUNIQUE,USERNAME,STATE,REPER,STATEID,SURVEYTYPE,FY
53,UMBAK,AK,28,29,29,2016
54,UMBAL,AL,28,29,29,2016
55,UMBAR,AR,28,29,29,2016
56,UMBAZ,AZ,28,29,29,2016
57,UMBCA,CA,28,29,29,2016
58,UMBCO,CO,28,29,29,2016
59,UMBCT,CT,28,29,29,2016
60,UMBDC,DC,28,29,29,2016
61,UMBDE,DE,28,29,29,2016
62,UMBFL,FL,28,29,29,2016
63,UMBGA,GA,28,29,29,2016
64,UMBHI,HI,28,29,29,2016
65,UMBIA,IA,28,29,29,2016
66,UMBID,ID,28,29,29,2016
67,UMBIL,IL,28,29,29,2016
68,UMBIN,IN,28,29,29,2016
69,UMBKS,KS,28,29,29,2016
70,UMBKY,KY,28,29,29,2016
71,UMBLA,LA,28,29,29,2016
72,UMBMA,MA,28,29,29,2016
73,UMBMD,MD,28,29,29,2016
74,UMBME,ME,28,29,29,2016
75,UMBMI,MI,28,29,29,2016
76,UMBMN,MN,28,29,29,2016
77,UMBMO,MO,28,29,29,2016
78,UMBMS,MS,28,29,29,2016
79,UMBMT,MT,28,29,29,2016
80,UMBNC,NC,28,29,29,2016
81,UMBND,ND,28,29,29,2016
82,UMBNE,NE,28,29,29,2016
83,UMBNH,NH,28,29,29,2016
84,UMBNJ,NJ,28,29,29,2016
85,UMBNM,NM,28,29,29,2016
86,UMBNV,NV,28,29,29,2016
87,UMBNY,NY,28,29,29,2016
88,UMBOH,OH,28,29,29,2016
89,UMBOK,OK,28,29,29,2016
90,UMBOR,OR,28,29,29,2016
91,UMBPA,PA,28,29,29,2016
92,UMBRI,RI,28,29,29,2016
93,UMBSC,SC,28,29,29,2016
94,UMBSD,SD,28,29,29,2016
95,UMBTN,TN,28,29,29,2016
96,UMBTX,TX,28,29,29,2016
97,UMBUT,UT,28,29,29,2016
98,UMBVA,VA,28,29,29,2016
99,UMBVT,VT,28,29,29,2016
100,UMBWA,WA,28,29,29,2016
101,UMBWI,WI,28,29,29,2016
102,UMBWV,WV,28,29,29,2016
103,UMBWY,WY,28,29,29,2016
